;;;;;;;;;;;;;;;;;;;;;;;Цели и приоритеты;;Планирует в течение дня;;;;;;;;Правильно определяет категорию Не фиксированных по времени задач при планировании;;;;;;;Правильно учитывает категорию фиксированной по времени задачи при планировании (встречи, совещания);;;Выполнять НЕ фиксированные по времени задачи  с учетом их категорий;;;;;;;;Выполнять фиксированные по времени задачи  с учетом их категорий;;;;Следует плану при выполнении задач;Завершает выполнение задачи (держит приоритет);;;;Исходя из цели (задачи) коммуникации выбирать наилучший способ (канал) коммуникации;;;;;;;Управлять количеством и периодами временем, затраченными на почту;;;Эффективно обрабатывать входящие письма;;;;;;Создавать сообщения, информативные и экономные для себя, коллег и партнеров;;;;Управлять количеством и периодами времени, затраченного на звонки;;Правильно принимать входящие звонки;;;Эффективно обрабатывать входящие звонки;;Управлять количеством и периодами времени, затраченного на встречи;;;Правильно принимать посетителей;;;Эффективно обрабатывать результаты встречи;;;Управлять количеством и периодами времени, затраченного на IM;;;;;Эффективно обрабатывать сообщения IM;;;Использовать делегирование как инструмент управления своим временем и объемом выполненных задач;;;;;;;Правильно управляет ресурсами различной квалификации;;Использует обратную связь как инструмент мотивации и обучения сотрудников;;;Делегировать сотруднику, наиболее подходящему для выполнения задачи;;Легко включается в работу из стрессовой ситуации ;;Следует приоритетам при статусном и эмоциональном воздействии;;;Внимательность и концентрация;Ответственность;;;Принимает решения;;;Скорость принятия решений;Обоснованность принимаемых решений;;;Результатоориентированность;;;;;
318;305;E8;ПРИГЛАШЕНИЕ НА ОБЕД ОТ НАЧ.ИТ;;;1;уравновешенное;10;уравновешенное;2;1;- По-моему, ей все равно. Незаменимых у нас нет.;нет;-;E8_2_b_Камера.png;#N/A;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;dialog;да
319;306;E8;ПРИГЛАШЕНИЕ НА ОБЕД ОТ НАЧ.ИТ;;;1;уравновешенное;10;уравновешенное;2;2;- Слушай, не могу я обедать, никак не получается. В отпуске пообедаю.;нет;-;-;#N/A;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;dialog;да
320;307;E8;ПРИГЛАШЕНИЕ НА ОБЕД ОТ НАЧ.ИТ;;;1;уравновешенное;10;уравновешенное;2;3;- А мы в двадцать минут впишемся? Если там очереди нет, то пойдем!;нет;-;-;#N/A;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;dialog;да
321;308;E8;ПРИГЛАШЕНИЕ НА ОБЕД ОТ НАЧ.ИТ;;;10;весело;1;уравновешенное;3;0;- Мои ребята только вернулись, говорят, что в кафе нашем полный штиль – выбирай любой столик. Давай, давай, поднимайся!;нет;-;E8_3_b_Камера.webm;z:\3. Команды\3.1 Partners\3.1.3 Sound\Master FX\E8_3.wav;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
322;309;E8;ПРИГЛАШЕНИЕ НА ОБЕД ОТ НАЧ.ИТ;;;1;уравновешенное;10;уравновешенное;3;1;- Нет, прости Cемен, не могу. После отпуска пообедаем. ;да;E8.1;E8_3_b_Камера.png;#N/A;;Встреча;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;0;;;;;;dialog;да
323;310;E8;ПРИГЛАШЕНИЕ НА ОБЕД ОТ НАЧ.ИТ;;;1;уравновешенное;10;уравновешенное;3;2;- Хорошо, пойдем, но у меня только двадцать минут. ;да;E8.3;-;#N/A;;Встреча;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;dialog;да
324;311;E8.1;ПРИГЛАШЕНИЕ НА ОБЕД ОТ НАЧ.ИТ (завершение);;;10;расстроенно;1;уравновешенное;1;0;- Не получится, после твоего отпуска я в отпуск уйду… А там и Новый год на носу. Побежал я, у меня у самого пятнадцать минут. Хотел тебе за обедом результаты теста по серверу рассказать. Ты письмо мое утреннее читал? Так вот, на самом деле все намного хуже. Срочно пиши служебку на выделение средств. Да ты письмо-то почитай! Пока!;да;T;E8_1_1_b_Камера.webm;z:\3. Команды\3.1 Partners\3.1.3 Sound\Master FX\E8.1_1.wav;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
325;312;E8.3;ОБЕД С НАЧАЛЬНИКОМ ИТ ОТДЕЛА ;;5;10;весело, переход к озабоченному в середине фразы;1;уравновешенное;1;0;- Так вот, слушай и записывай… Или закусывай! Ха-ха-ха...Ситуация с сервером – хуже некуда. Ты мое утреннее письмо читал?;нет;-;E8_3_1_Камера.webm;z:\3. Команды\3.1 Partners\3.1.3 Sound\Master FX\E8.3_1.wav;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
326;313;E8.3;ОБЕД С НАЧАЛЬНИКОМ ИТ ОТДЕЛА ;;;1;уравновешенное;10;уравновешенное;1;1;- Нет, прости, Мирон. Сегодня просто сумасшедший день. Собирался почту разбирать как только со срочными вопросами разберусь. А им конца и края нет.;нет;-;E8_3_1_Камера.png;#N/A;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
327;314;E8.3;ОБЕД С НАЧАЛЬНИКОМ ИТ ОТДЕЛА ;;;1;уравновешенное;10;уравновешенное;1;2;- Конечно читал. Хорошее письмо, обстоятельное!;нет;-;-;#N/A;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
328;315;E8.3;ОБЕД С НАЧАЛЬНИКОМ ИТ ОТДЕЛА ;;;1;уравновешенное;10;уравновешенное;1;3;- Какое письмо? У меня что, почта есть?;нет;-;-;#N/A;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
329;316;E8.3;ОБЕД С НАЧАЛЬНИКОМ ИТ ОТДЕЛА ;;;10;озабоченно;1;уравновешенное;2;0;- Так вот, все, что в нем было высказано в виде предположений, на деле во много раз ужаснее. Я-то надеялся, что мы приведем твой сервер в чувство, ребята у меня – умельцы. Но как бы не так. По тесту – пациент скорее мертв. Сдаем его в утиль. Долго я тебя на резервном сервере не продержу – у вас же данные со времен царя Гороха. Так что если ты надеешься, что пока ты в отпуске твой отдел будет пахать – срочно проси денег у Денежной. Я тогда на следующей неделе все закуплю и подготовлю. ;нет;-;E8_3_2_Камера.webm;z:\3. Команды\3.1 Partners\3.1.3 Sound\Master FX\E8.3_2.wav;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
330;317;E8.3;ОБЕД С НАЧАЛЬНИКОМ ИТ ОТДЕЛА ;;;1;уравновешенное;10;уравновешенное;2;1;- Да у Денежной снега зимой не выпросишь, а тут деньги вне бюджета! Что же делать?;нет;-;E8_3_2_Камера.png;#N/A;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;dialog;да
331;318;E8.3;ОБЕД С НАЧАЛЬНИКОМ ИТ ОТДЕЛА ;;;1;уравновешенное;10;уравновешенное;2;2;- Семен, а у тебя наверняка в бюджете статейка есть на непредвиденные расходы. Это ведь форс-мажор?;нет;-;-;#N/A;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
332;319;E8.3;ОБЕД С НАЧАЛЬНИКОМ ИТ ОТДЕЛА ;;;1;уравновешенное;10;уравновешенное;2;3;- Понял тебя,  скажу своему аналитику, чтобы срочно служебку писал. ;да;E8.5;-;#N/A;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;;;;;;;;;;;;;;;;;1;;;1;;;;;0;;;;0;;dialog;да
333;320;E8.3;ОБЕД С НАЧАЛЬНИКОМ ИТ ОТДЕЛА ;;;10;уравновешенное;1;уравновешенное;3;0;- У меня, конечно, были кое-какие средства заложены на форс-мажор, но только я их на продажи потратил -  у них же в последнее время штат просто чудовищно вырос! И ладно бы заранее хоть как-то известили, а то все – по факту. Вынь им и положь компьютер за компьютером! Потому, друг мой, придется тебе своей дорогой начальнице все очень аргументировано изложить! И деньги – добыть! Другого выхода нет!;нет;-;E8_3_3_Камера.webm;z:\3. Команды\3.1 Partners\3.1.3 Sound\Master FX\E8.3_3.wav;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
334;321;E8.3;ОБЕД С НАЧАЛЬНИКОМ ИТ ОТДЕЛА ;;;1;уравновешенное;10;уравновешенное;3;1;- Хорошо, сейчас вернусь и напишу служебку. Спасибо за информацию! ;да;MS20;E8_3_3_Камера.png;#N/A;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;1;;;1;;;;;1;;;;1;;dialog;да
335;322;E8.3;ОБЕД С НАЧАЛЬНИКОМ ИТ ОТДЕЛА ;;;1;уравновешенное;10;уравновешенное;3;2;- Я все понял. Запланирую подготовку служебки сегодня-завтра. Спасибо! ;да;P17;-;#N/A;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;1;;;1;;;;;0;;;;0;;dialog;да
336;323;E8.3;ОБЕД С НАЧАЛЬНИКОМ ИТ ОТДЕЛА ;;;1;уравновешенное;10;уравновешенное;3;3;- Понял тебя, скажу своему аналитику, чтобы срочно писал служебку. А тебе – спасибо, и за обед, и за информацию! ;да;E8.5;-;#N/A;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;0;;dialog;да
337;;E8.3;ОБЕД С НАЧАЛЬНИКОМ ИТ ОТДЕЛА ;;;1;уравновешенное;10;уравновешенное;3;4;- Да я уже написал! Но все равно спасибо огромное за предупреждение!;да;T;-;;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
338;324;E8.5;ЗВОНОК АНАЛИТИКУ 1 ПО СЛУЖЕБКЕ.;;10;3;расслабленно, медлительно;1;уравновешенное;1;0;- Трутнев у аппарата.;нет;-;E8.5_1.wav;z:\3. Команды\3.1 Partners\3.1.3 Sound\Master FX\E8.5_1.wav;НЕПОНЯТНО, откуда E8.5 запускается;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
339;325;E8.5;ЗВОНОК АНАЛИТИКУ 1 ПО СЛУЖЕБКЕ.;;;1;уравновешенное;3;уравновешенное;1;1;- Сергей, нужна помощь! Возьми ручку и записывай. Готов?;нет;-;нет;#N/A;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
340;326;E8.5;ЗВОНОК АНАЛИТИКУ 1 ПО СЛУЖЕБКЕ.;;;1;уравновешенное;3;уравновешенное;1;2;- Сергей, удобно тебе говорить?;нет;-;нет;#N/A;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
341;327;E8.5;ЗВОНОК АНАЛИТИКУ 1 ПО СЛУЖЕБКЕ.;;;1;уравновешенное;3;уравновешенное;1;3;- Сергей, запиши задачу. Надо сделать срочно.;нет;-;нет;#N/A;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
342;328;E8.5;ЗВОНОК АНАЛИТИКУ 1 ПО СЛУЖЕБКЕ.;;;3;расслабленно, медлительно;1;уравновешенное;2;0;- Не-а, на меня тут логисты наседают. Если я им через пять минут итоговый отчет не выгружу, они заявятся с демонстрацией и плакатами. А еще у нас завтра футбол корпоративный, и я не хочу, чтоб мне все ноги перебили – знаете, какие у них бугаи в команде? ха-ха-ха...;нет;-;E8.5_2.wav;z:\3. Команды\3.1 Partners\3.1.3 Sound\Master FX\E8.5_2.wav;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
343;329;E8.5;ЗВОНОК АНАЛИТИКУ 1 ПО СЛУЖЕБКЕ.;;;1;уравновешенное;3;уравновешенное;2;1;- Ну ладно, набери меня, когда освободишься;да;T;нет;#N/A;;Разговор по телефону;???;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
344;330;E8.5;ЗВОНОК АНАЛИТИКУ 1 ПО СЛУЖЕБКЕ.;;;1;уравновешенное;3;уравновешенное;2;2;- Так, отложи в сторону своих логистов, мне всего пять твоих минут нужно.;нет;-;нет;#N/A;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;dialog;да
345;331;E8.5;ЗВОНОК АНАЛИТИКУ 1 ПО СЛУЖЕБКЕ.;;;1;уравновешенное;3;уравновешенное;2;3;- Как всегда у тебя – сплошной аврал. Пять минут для руководителя найдешь?;нет;-;нет;#N/A;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;dialog;да
346;332;E8.5;ЗВОНОК АНАЛИТИКУ 1 ПО СЛУЖЕБКЕ.;;;3;с ленцой;1;уравновешенное;3;0;- Ну хорошо, слушаю. Вот… Ручку уже взял. Только мне сегодня домой надо вовремя. ;нет;-;E8.5_3.wav;z:\3. Команды\3.1 Partners\3.1.3 Sound\Master FX\E8.5_3.wav;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
347;333;E8.5;ЗВОНОК АНАЛИТИКУ 1 ПО СЛУЖЕБКЕ.;;;1;уравновешенное;3;уравновешенное;3;1;- Я тебя не задержу. Надо написать служебку на имя Денежной на выделение средств за рамками бюджета на покупку нового сервера для отдела. Я тебе письмо от АйТишников перешлю – данные возьми оттуда. ;да;MS27;нет;#N/A;;Разговор по телефону;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
348;334;E8.5;ЗВОНОК АНАЛИТИКУ 1 ПО СЛУЖЕБКЕ.;;;1;уравновешенное;3;уравновешенное;3;2;- Уйдешь, когда работу закончишь. Пиши: служебка на имя Денежной. Нам нужны деньги на сервер. Сломался. Форс-мажор. Далее – из письма от Железного, сейчас перешлю. ;да;MS27;нет;#N/A;;Разговор по телефону;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;dialog;да
349;335;E8.5;ЗВОНОК АНАЛИТИКУ 1 ПО СЛУЖЕБКЕ.;;;1;уравновешенное;3;уравновешенное;3;3;- Так, пиши. Подготовить служебку на имя Денежной. Срочно. Деньги на сервер. В бюджете нет. Цена и характеристики сервера – в письме от Железного. Вопросы есть?;нет;-;нет;#N/A;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
350;336;E8.5;ЗВОНОК АНАЛИТИКУ 1 ПО СЛУЖЕБКЕ.;;;3;уравновешенное;1;уравновешенное;4;0;- Есть…вот. А служебку-то кому слать – вам или Денежной?;нет;-;E8.5_4.wav;z:\3. Команды\3.1 Partners\3.1.3 Sound\Master FX\E8.5_4.wav;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
351;337;E8.5;ЗВОНОК АНАЛИТИКУ 1 ПО СЛУЖЕБКЕ.;;;1;уравновешенное;3;уравновешенное;4;1;- Шли мне. Я проверю. Еще вопросы?;нет;-;нет;#N/A;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
352;338;E8.5;ЗВОНОК АНАЛИТИКУ 1 ПО СЛУЖЕБКЕ.;;;1;уравновешенное;3;уравновешенное;4;2;- Шли Денежной. Поставишь меня в копию. Еще вопросы есть?;нет;-;нет;#N/A;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
353;339;E8.5;ЗВОНОК АНАЛИТИКУ 1 ПО СЛУЖЕБКЕ.;;;3;нагловатое;1;уравновешенное;5;0;- А почему вы сами не напишете? Тут же делов-то на две минуты!;нет;-;E8.5_5.wav;z:\3. Команды\3.1 Partners\3.1.3 Sound\Master FX\E8.5_5.wav;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
354;340;E8.5;ЗВОНОК АНАЛИТИКУ 1 ПО СЛУЖЕБКЕ.;;;1;уравновешенное;3;уравновешенное;5;1;- Не учи меня, сам разберусь.;да;T;нет;#N/A;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;dialog;да
355;341;E8.5;ЗВОНОК АНАЛИТИКУ 1 ПО СЛУЖЕБКЕ.;;;1;уравновешенное;3;уравновешенное;5;2;- А ты иди - посиди за меня в этом кресле и поймешь. ;да;T;нет;#N/A;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;dialog;да
356;342;E8.5;ЗВОНОК АНАЛИТИКУ 1 ПО СЛУЖЕБКЕ.;;;1;уравновешенное;3;уравновешенное;5;3;- Я занят. Если все эти мелкие вопросы делать самому – я тут ночевать буду.;да;T;нет;#N/A;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;dialog;да
357;;ET9;ЗВОНОК НАЧ.ПРОИЗВОДСТВА ПО СБ;15:05;;11;;1;;1;0;звук телефонного звонка;нет;-;-;;;Звонок;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;time;да
358;;ET9;ЗВОНОК НАЧ.ПРОИЗВОДСТВА ПО СБ;;;1;;11;;1;1;Ответить;да;E9;-;;;Звонок;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;icon;да
359;;ET9;ЗВОНОК НАЧ.ПРОИЗВОДСТВА ПО СБ;;;1;;11;;1;2;Не ответить;да;S9;-;;;Звонок;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;icon;да
807;;S9;ПОВТОРНЫЙ ЗВОНОК НАЧ.ПРОИЗВОДСТВА ПО СБ;;5;11;;1;;1;0;звук телефонного звонка;нет;-;-;;;Звонок;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
808;;S9;ПОВТОРНЫЙ ЗВОНОК НАЧ.ПРОИЗВОДСТВА ПО СБ;;;1;;11;;1;1;Ответить;да;E9;-;;;Звонок;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;icon;да
809;;S9;ПОВТОРНЫЙ ЗВОНОК НАЧ.ПРОИЗВОДСТВА ПО СБ;;;1;;11;;1;2;Не ответить;да;S2;-;;;Звонок;F1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;icon;да
812;;S9.1;ТРЕТИЙ ЗВОНОК НАЧ.ПРОИЗВОДСТВА ПО СБ;;;11;;1;;1;0;звук телефонного звонка;нет;-;-;;;Звонок;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
813;;S9.1;ТРЕТИЙ ЗВОНОК НАЧ.ПРОИЗВОДСТВА ПО СБ;;;1;;11;;1;1;Ответить;да;E9;-;;;Звонок;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;icon;да
360;343;E9;ЗВОНОК НАЧ.ПРОИЗВОДСТВА ПО СБ;;;11;взволнованно, заискивающе;1;уравновешенное;1;0;- Господи, как же хорошо, что я вас застал!. Я тут прямо извелся с этим бюджетом. Знаете, что это такое – собрать данные по двум сотням поставщиков? То у них старые цены, то новые, то такая тара, то другая. Алло?;нет;-;E9_1.wav;z:\3. Команды\3.1 Partners\3.1.3 Sound\Master FX\E9_1.wav;ВНИМАНИЕ: в этом диалоге может быть сокращен путь для разумных людей за счет пропуска шагов! Если потребуется при балансировке!;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dialog;да
