;;;;;;;;;;;;;;;;;Цели и приоритеты;;Планирует в течение дня;;;;;;;;Правильно определяет категорию Не фиксированных по времени задач при планировании;;;;;;;Правильно учитывает категорию фиксированной по времени задачи при планировании (встречи, совещания);;;;Выполнять НЕ фиксированные по времени задачи  с учетом их категорий;;;;;;;;Выполнять фиксированные по времени задачи  с учетом их категорий;;;;;Завершает выполнение задачи (держит приоритет);;;;Исходя из цели (задачи) коммуникации выбирать наилучший способ (канал) коммуникации;;;;;;;;;;Управлять количеством и периодами временем, затраченными на почту;;;;;Эффективно обрабатывать входящие письма;;;;;Создавать сообщения, информативные и экономные для себя, коллег и партнеров;;;;;Управлять количеством и периодами времени, затраченного на звонки;;Правильно принимать входящие звонки;;;;;;;Эффективно обрабатывать входящие звонки;;;Управлять количеством и периодами времени, затраченного на встречи;;;Правильно принимать посетителей;;;;;;Эффективно обрабатывать результаты встречи;;;;;Управлять количеством и периодами времени, затраченного на IM;;;;;;;Эффективно обрабатывать сообщения IM;;;Использовать делегирование как инструмент управления своим временем и объемом выполненных задач;;;;;;;Правильно управляет ресурсами различной квалификации;;;Использует обратную связь как инструмент мотивации и обучения сотрудников;;;Делегировать сотруднику, наиболее подходящему для выполнения задачи;;;;Легко включается в работу из стрессовой ситуации ;;;;;;Следует приоритетам при статусном и эмоциональном воздействии;;;Внимательность и концентрация;;Ответственность;;;Принимает решения;;;Скорость принятия решений;Обоснованность принимаемых решений;;;Результатоориентированность;;;;;;;;
E2.2;Разговор по телефону с аналитиком 2 срочно. Так я же занималась презой, а вы мне сводный бюджет сказали делать. Вот я презой и перестала заниматься. ;12:10;10;герой;уравновешенное;аналитик 2;уравновешенное;1;3;-          Надо же такому случиться – все в один день. Выручай, дорогая, что там у тебя с презентацией Босса на выставку?;нет;-;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E2.213;0;0;;0;0
E2.2;Разговор по телефону с аналитиком 2 срочно. Так я же занималась презой, а вы мне сводный бюджет сказали делать. Вот я презой и перестала заниматься. ;12:10;10;аналитик 2;уравновешенное;герой;уравновешенное;2;0;-          Да ничего у меня нет, я ведь бюджетом занимаюсь, а презентацию на вечер отложила. Есть только пара-тройка мыслей.  Я даже еще информацию не собирала. Да вы ведь сами просили отложить!;-;-;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E2.220;0;0;;0;0
E2.2;Разговор по телефону с аналитиком 2 срочно. Так я же занималась презой, а вы мне сводный бюджет сказали делать. Вот я презой и перестала заниматься. ;12:10;10;герой;уравновешенное;аналитик 2;уравновешенное;2;1;-          Вот это да! И ведь надо же в один день все. Ладно, отложи пока сводный бюджет и займись презентаций. С Денежной я как-нибудь вопрос улажу;да;E2.8;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;E2.221;1;1;;1;0
E2.2;Разговор по телефону с аналитиком 2 срочно. Так я же занималась презой, а вы мне сводный бюджет сказали делать. Вот я презой и перестала заниматься. ;12:10;10;герой;уравновешенное;аналитик 2;уравновешенное;2;2;-          Ах да. Помню. Шли, что есть вместе с твоими мыслями и прошлогодней презентацией. Буду делать сам;да;M11;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;E2.222;0;1;;0;0
E2.2;Разговор по телефону с аналитиком 2 срочно. Так я же занималась презой, а вы мне сводный бюджет сказали делать. Вот я презой и перестала заниматься. ;12:10;10;герой;уравновешенное;аналитик 2;уравновешенное;2;3;-          Точно, как же нам быть, оба вопроса важные и перенести нельзя. Есть идеи?;-;-;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E2.223;0;0;;0;0
E2.2;Разговор по телефону с аналитиком 2 срочно. Так я же занималась презой, а вы мне сводный бюджет сказали делать. Вот я презой и перестала заниматься. ;12:10;10;аналитик 2;уравновешенное;герой;уравновешенное;3;0;-          А вы попросите его об отсрочке. Выставка только через неделю. Да за это время я могу двести презентаций сделать. Нет же срочности никакой.;-;-;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E2.230;0;0;;0;0
E2.2;Разговор по телефону с аналитиком 2 срочно. Так я же занималась презой, а вы мне сводный бюджет сказали делать. Вот я презой и перестала заниматься. ;12:10;10;герой;уравновешенное;аналитик 2;уравновешенное;3;1;-          Молодчина, Марина! И чтобы я без тебя делал? Сейчас позвоню ему. Точно лучше, чем идти не готовым. Ты пришли мне твои наброски, пожалуйста.;да;E2.9;;Разговор по телефону;F15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;E2.231;0;1;;0;0
E2.2;Разговор по телефону с аналитиком 2 срочно. Так я же занималась презой, а вы мне сводный бюджет сказали делать. Вот я презой и перестала заниматься. ;12:10;10;герой;уравновешенное;аналитик 2;уравновешенное;3;2;-          Нет, ты его в трубке на слышала. Он же меня съест. Давай-ка мне все, что у тебя есть, буду делать сам;да;M11;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;E2.232;0;1;;0;0
E2.2;Разговор по телефону с аналитиком 2 срочно. Так я же занималась презой, а вы мне сводный бюджет сказали делать. Вот я презой и перестала заниматься. ;12:10;10;герой;уравновешенное;аналитик 2;уравновешенное;3;3;-          Знаешь, берись все-таки за его презентацию. А бюджет закончишь к вечеру. Думаю, уговорю Денежную. Тут ведь Босса интересы.;да;E2.8;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;E2.233;1;1;;1;0
E2.4;Разговор по телефону с аналитиком 2 срочно. Пока вопросов нет, пришлю готовый вариант после обеда;12:10;10;аналитик 2;уравновешенное;герой;уравновешенное;1;0;-          Марина Крутько, добрый день.;-;-;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E2.410;0;0;;0;0
E2.4;Разговор по телефону с аналитиком 2 срочно. Пока вопросов нет, пришлю готовый вариант после обеда;12:10;10;герой;уравновешенное;аналитик 2;уравновешенное;1;1;-          Марина, срочно пересылай мне презентацию для ГД. Босс сам звонил и интересовался!;нет;-;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E2.411;0;0;;0;0
E2.4;Разговор по телефону с аналитиком 2 срочно. Пока вопросов нет, пришлю готовый вариант после обеда;12:10;10;герой;уравновешенное;аналитик 2;уравновешенное;1;2;-          Марина, привет! Как идет работа над презентацией для ГД?;нет;-;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E2.412;0;0;;0;0
E2.4;Разговор по телефону с аналитиком 2 срочно. Пока вопросов нет, пришлю готовый вариант после обеда;12:10;10;герой;уравновешенное;аналитик 2;уравновешенное;1;3;-          Марина, бросай все дела и срочно приводи в порядок презентацию для Босса.;нет;-;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E2.413;0;0;;0;0
E2.4;Разговор по телефону с аналитиком 2 срочно. Пока вопросов нет, пришлю готовый вариант после обеда;12:10;10;аналитик 2;уравновешенное;герой;уравновешенное;2;0;-          Я работаю над презентацией. Пока в ней мало что выложено, но задача мне понятна. Постараюсь, как и обещала, закончить к 15.30.;-;-;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E2.420;0;0;;0;0
E2.4;Разговор по телефону с аналитиком 2 срочно. Пока вопросов нет, пришлю готовый вариант после обеда;12:10;10;герой;уравновешенное;аналитик 2;уравновешенное;2;1;-          Отлично, одной проблемой меньше. Жду в 15.30;да;M10;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E2.421;2;3;;2;0
E2.4;Разговор по телефону с аналитиком 2 срочно. Пока вопросов нет, пришлю готовый вариант после обеда;12:10;10;герой;уравновешенное;аналитик 2;уравновешенное;2;2;-          Хорошо, что задача ясна. Я бы хотел посмотреть промежуточный результат через час. Пришли, пожалуйста;да;M9;"НОВОЕ СОБЫТИЕ
где герой смотрит промежуточный результат через час?";Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E2.422;0;3;;0;0
E2.4;Разговор по телефону с аналитиком 2 срочно. Пока вопросов нет, пришлю готовый вариант после обеда;12:10;10;герой;уравновешенное;аналитик 2;уравновешенное;2;3;-          Давай мы все-таки посмотрим, что у тебя там получается и обсудим  все требования Босса. Шли мне презентацию прямо сейчас.;нет;-;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E2.423;0;0;;0;0
E2.4;Разговор по телефону с аналитиком 2 срочно. Пока вопросов нет, пришлю готовый вариант после обеда;12:10;10;аналитик 2;уравновешенное;герой;уравновешенное;3;0;-          Пересылаю. Не знаю, что вы там хотите увидеть. Это как на торт смотреть за час до его готовности – продукты, кастрюльки и никакого торта!;-;-;;Разговор по телефону;F16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E2.430;0;0;;0;0
E2.4;Разговор по телефону с аналитиком 2 срочно. Пока вопросов нет, пришлю готовый вариант после обеда;12:10;10;герой;уравновешенное;аналитик 2;уравновешенное;3;1;-          Вот это да! Так ведь она пустая! Срочно зайди ко мне!;да;E2.7;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E2.431;0;1;;0;0
E2.4;Разговор по телефону с аналитиком 2 срочно. Пока вопросов нет, пришлю готовый вариант после обеда;12:10;10;герой;уравновешенное;аналитик 2;уравновешенное;3;2;-          Послушай, так здесь и смотреть нечего!  Как ты собираешься все сделать за такой срок?;да;E2.10;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E2.432;1;1;;1;0
E2.4;Разговор по телефону с аналитиком 2 срочно. Пока вопросов нет, пришлю готовый вариант после обеда;12:10;10;герой;уравновешенное;аналитик 2;уравновешенное;3;3;-          Очевидно, что ты не успеваешь сделать то, что хочет видеть Босс. Теперь мне придется перенести с ним встречу на завтра. Точно лучше, чем краснеть в его кабинете;да;E2.9;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E2.433;0;0;;0;0
E2.7;Встреча с аналитиком 2 ужас. Суть: презентация вообще пустая, что ты планировала делать, какая информация у тебя есть. Ответ: если я каждые пять минут буду давать разъяснения - я вооще ничего не успею. Дайте мне время закончить - я сказала, что работа не завершена. ;12:50;20;герой;уравновешенное;аналитик 2;обиженное;1;1;-          Я хочу получить твои пояснения, что именно ты планируешь делать, чтобы закончить презентацию в срок!;нет;-;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E2.711;0;1;;0;0
E2.7;Встреча с аналитиком 2 ужас. Суть: презентация вообще пустая, что ты планировала делать, какая информация у тебя есть. Ответ: если я каждые пять минут буду давать разъяснения - я вооще ничего не успею. Дайте мне время закончить - я сказала, что работа не завершена. ;12:50;20;герой;уравновешенное;аналитик 2;обиженное;1;2;-          Как ты могла так легкомысленно подойти к этой работе? Ведь это же не обычный отчет! Это заказ Босса!;нет;-;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E2.712;1;1;;1;0
E2.7;Встреча с аналитиком 2 ужас. Суть: презентация вообще пустая, что ты планировала делать, какая информация у тебя есть. Ответ: если я каждые пять минут буду давать разъяснения - я вооще ничего не успею. Дайте мне время закончить - я сказала, что работа не завершена. ;12:50;20;герой;уравновешенное;аналитик 2;обиженное;1;3;-          Марина, посмотри мне в глаза, ты уверена, что справишься?;нет;-;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E2.713;0;1;;0;0
E2.7;Встреча с аналитиком 2 ужас. Суть: презентация вообще пустая, что ты планировала делать, какая информация у тебя есть. Ответ: если я каждые пять минут буду давать разъяснения - я вооще ничего не успею. Дайте мне время закончить - я сказала, что работа не завершена. ;12:50;20;аналитик 2;обиженное;герой;уравновешенное;2;0;###############################################################################################################################################################################################################################################################;-;-;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E2.720;0;0;;0;0
E2.7;Встреча с аналитиком 2 ужас. Суть: презентация вообще пустая, что ты планировала делать, какая информация у тебя есть. Ответ: если я каждые пять минут буду давать разъяснения - я вооще ничего не успею. Дайте мне время закончить - я сказала, что работа не завершена. ;12:50;20;герой;уравновешенное;аналитик 2;обиженное;2;1;-          Потрясающее равнодушие и безответственность. Я не ожидал от тебя, никак не ожидал!;да;E2.8;;Встреча;CS3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;E2.721;0;1;;0;0
E2.7;Встреча с аналитиком 2 ужас. Суть: презентация вообще пустая, что ты планировала делать, какая информация у тебя есть. Ответ: если я каждые пять минут буду давать разъяснения - я вооще ничего не успею. Дайте мне время закончить - я сказала, что работа не завершена. ;12:50;20;герой;уравновешенное;аналитик 2;обиженное;2;2;-          Так, знаешь, теперь я буду контролировать тебя по шагам, раз у нас возникают такие прецеденты не верной оценки статуса задачи и ее сложности.;да;E2.8;;Встреча;CS3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;E2.722;0;1;;0;0
E2.7;Встреча с аналитиком 2 ужас. Суть: презентация вообще пустая, что ты планировала делать, какая информация у тебя есть. Ответ: если я каждые пять минут буду давать разъяснения - я вооще ничего не успею. Дайте мне время закончить - я сказала, что работа не завершена. ;12:50;20;герой;уравновешенное;аналитик 2;обиженное;2;3;-          Ну хорошо, раз ты уверена, что справишься – я тебе доверяю. Продолжай! Жду итог в обещанное время!;да;M10;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;E2.723;1;1;;1;0
E2.7;Встреча с аналитиком 2 ужас. Суть: презентация вообще пустая, что ты планировала делать, какая информация у тебя есть. Ответ: если я каждые пять минут буду давать разъяснения - я вооще ничего не успею. Дайте мне время закончить - я сказала, что работа не завершена. ;12:50;20;герой;уравновешенное;аналитик 2;обиженное;2;4;-          У меня нет уверенности, что ты сделаешь презентацию в срок. Я сделаю это сам. Поговорим об этой ситуации позже.;да;M11;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;E2.724;2;2;;2;0
E2.7;Встреча с аналитиком 2 ужас. Суть: презентация вообще пустая, что ты планировала делать, какая информация у тебя есть. Ответ: если я каждые пять минут буду давать разъяснения - я вооще ничего не успею. Дайте мне время закончить - я сказала, что работа не завершена. ;12:50;20;герой;уравновешенное;аналитик 2;обиженное;2;5;-          Пожалуй, самое время звонить Боссу и переносить встречу на завтра. Уверенность в себе – дело хорошее, но  не всегда гарантирует результат;да;E2.9;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;E2.725;1;1;;1;0
E2.10;Продолжение разговора по телефону с аналитиком 2 ужас. Все то же самое, что и в E2.7, но говорит все это по телефону. ;12:50;20;аналитик 2;обиженное;герой;уравновешенное;1;0;-          Да ведь я сказала, что успею. Обычная работа. Данные все есть. Большого труда перенести их в формат презентации не вижу.  Меня только дергаю все время. Сколько я уже времени потеряла на этот разговор!;-;-;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E2.1010;0;0;;0;0
E2.10;Продолжение разговора по телефону с аналитиком 2 ужас. Все то же самое, что и в E2.7, но говорит все это по телефону. ;12:50;20;герой;уравновешенное;аналитик 2;обиженное;1;1;-          Не ожидал от тебя такого легкомыслия. Ты себе отдаешь отчет, для кого ты это делаешь? Да ведь это просто равнодушие какое-то!;да;E2.8;;Разговор по телефону;CS1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;E2.1011;0;1;;0;0
E2.10;Продолжение разговора по телефону с аналитиком 2 ужас. Все то же самое, что и в E2.7, но говорит все это по телефону. ;12:50;20;герой;уравновешенное;аналитик 2;обиженное;1;2;-          Ты меня не приятно удивила в этот раз. Я буду вынужден впредь контролировать тебя чаще;да;E2.8;;Разговор по телефону;CS1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;E2.1012;0;1;;0;0
E2.10;Продолжение разговора по телефону с аналитиком 2 ужас. Все то же самое, что и в E2.7, но говорит все это по телефону. ;12:50;20;герой;уравновешенное;аналитик 2;обиженное;1;3;-          Так, ну раз ты уверена, что задача простая и времени на нее хватит – работай. Полагаюсь на тебя и жду презентацию во время.;да;M10;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;E2.1013;1;1;;1;0
E2.10;Продолжение разговора по телефону с аналитиком 2 ужас. Все то же самое, что и в E2.7, но говорит все это по телефону. ;12:50;20;герой;уравновешенное;аналитик 2;обиженное;1;4;-          Пожалуй, самое время перенести встречу с Боссом на завтра. С таким материалом я не пойду.;да;E2.9;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;E2.1014;1;1;;1;0
E2.10;Продолжение разговора по телефону с аналитиком 2 ужас. Все то же самое, что и в E2.7, но говорит все это по телефону. ;12:50;20;герой;уравновешенное;аналитик 2;обиженное;1;5;-          У меня нет уверенности, что ты сделаешь презентацию в срок. Я сделаю это сам. Поговорим об этой ситуации позже.;да;M11;;Разговор по телефону;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;E2.1015;1;1;;1;0
E2.8;Подолжение встречи с аналитиком 2. Суть:больше терепения нет, я скажу вам все, что думаю. Уверена, что это будет очень полезно: вы не умеете управлять задачами, вы не умеете управлять временем своим и своих подчиненных, вы не умеете управлять людьми. Мне давно пора покинуть это странное место, где мне нечему научиться.;13:10;30;аналитик 2;в гневе;герой;уравновешенное;1;0;###############################################################################################################################################################################################################################################################;-;-;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E2.810;0;0;;0;0
E2.8;Подолжение встречи с аналитиком 2. Суть:больше терепения нет, я скажу вам все, что думаю. Уверена, что это будет очень полезно: вы не умеете управлять задачами, вы не умеете управлять временем своим и своих подчиненных, вы не умеете управлять людьми. Мне давно пора покинуть это странное место, где мне нечему научиться.;13:10;30;герой;уравновешенное;аналитик 2;в гневе;1;1;-          Марина, что с тобой? Возьми себя в руки!  Мне тоже очень жаль, что все так складывается сегодня, но во многом это не моя вина. Возвращайся и отправь мне все, что есть по презентации.;нет;-;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;E2.811;0;1;;0;0
E2.8;Подолжение встречи с аналитиком 2. Суть:больше терепения нет, я скажу вам все, что думаю. Уверена, что это будет очень полезно: вы не умеете управлять задачами, вы не умеете управлять временем своим и своих подчиненных, вы не умеете управлять людьми. Мне давно пора покинуть это странное место, где мне нечему научиться.;13:10;30;герой;уравновешенное;аналитик 2;в гневе;1;2;-          Марина, давай обсудим твое отношение ко мне позже. У нас масса срочных дел, и ко мне сейчас придут. Не время. Иди, пришли мне все по презентации;да;M11;;Встреча;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;E2.812;2;2;;2;0
